id,name,parent_id
code_fish_cat_medical_353,Antibiotics ( Tuberculosis agents ),Antimicrobials
code_fish_cat_medical_354,Laxatives contain Calcium Polycarbophil 625mg,Laxative Preparations
code_fish_cat_medical_355,Preparations contain Vitamin E,Simple And MultiVitamins
code_fish_cat_medical_356,Tinidazole,Antidiarrheal Drugs
code_fish_cat_medical_357,Other antidiarrheal preparations,Antidiarrheal Drugs
code_fish_cat_medical_358,Preparations for Menopause Symptomes,"Pregnancy, Labor, & Lactation"
code_fish_cat_medical_359,Inhalers contain Corticosteroid only,Drugs of Bronchial Asthma
code_fish_cat_medical_360,Other Drugs treat Peptic and Duodenal Ulcer,drugs for Peptic and Duodenal Ulcers
code_fish_cat_medical_361,Folic acid,Simple And MultiVitamins
code_fish_cat_medical_362,Gliptins (Dipeptidyl peptidase-4 inhibitor),Anti diabetic Agents
code_fish_cat_medical_363,Human Menopausal Gonadotrophine HMC,Sterility And Infertility Agents
code_fish_cat_medical_364,MultiVitamins +Minerals+Ginseng,Simple And MultiVitamins
code_fish_cat_medical_365,Antiviral Eye Drops,Eye and Ear Preparations
code_fish_cat_medical_366,Contrast Media,Miscellaneous Drugs
code_fish_cat_medical_367,Growth Hormone ( anterior pituitary Hormones),"Androgens , Anabolics , Growth Hormones & other Sexual Tonics"
code_fish_cat_medical_368,Ginseng With or without other agents,Simple And MultiVitamins
code_fish_cat_medical_369,Drugs used to treat Hypoglycaemia,Anti diabetic Agents
code_fish_cat_medical_370,Laxatives - Glycerin suppositories,Laxative Preparations
code_fish_cat_medical_371,Medicated Hot & Cold Plasters,Medical
code_fish_cat_medical_372,Green tea,Weight Control & Appetite Suppressants
code_fish_cat_medical_373,Myometrial Relaxant agents,"Pregnancy, Labor, & Lactation"
code_fish_cat_medical_374,Thiazides and related Diuretics,Diuretics and Potassium Preparations
code_fish_cat_medical_375,Foot caring products,"Topical Anti-Histamine, Diaper-Rach, Sun-Burn and Sun-Screen Preparations"
code_fish_cat_medical_376,Preparations Help to increase Lactations,Baby Milk Powder And Other babies & Adults Food
code_fish_cat_medical_377,Natural Preparation Used as mild Anti-Hypertensives,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_378,Tricyclic antidepressents,Nocturnal Enuresis drugs
code_fish_cat_medical_379,Drugs act by inhibiting GIT Peristalsis,Antidiarrheal Drugs
code_fish_cat_medical_380,Class II ( Beta- adrenoreceptor blockers ) .,Anti-arrhythmic Drugs
code_fish_cat_medical_381,Medicated Herbs,Baby Milk Powder And Other babies & Adults Food
code_fish_cat_medical_382,Miotic eye drops,Eye and Ear Preparations
code_fish_cat_medical_383,Antidiarrhoeal Contain Lactobacillus,Antidiarrheal Drugs
code_fish_cat_medical_384,Other Preparations Tonics or not Classifed,Simple And MultiVitamins
code_fish_cat_medical_385,Effervescent laxatives,Laxative Preparations
code_fish_cat_medical_386,Laxatives Contain Sodium Picosulfate,Laxative Preparations
code_fish_cat_medical_387,Baby Food ready for feeding,Baby Milk Powder And Other babies & Adults Food
code_fish_cat_medical_388,Zinc in High Concentration,Simple And MultiVitamins
code_fish_cat_medical_389,Tonic Preparations contain Royal Jelly,Simple And MultiVitamins
code_fish_cat_medical_390,Baby Tea,Baby Milk Powder And Other babies & Adults Food
code_fish_cat_medical_391,Milk Powder used during diarrhoea,Baby Milk Powder And Other babies & Adults Food
code_fish_cat_medical_392,Insect Repellent Preparations,"Topical Anti-Histamine, Diaper-Rach, Sun-Burn and Sun-Screen Preparations"
code_fish_cat_medical_393,Opiod Antagonist,Analgesic&Anti-Inflammatory Agents
code_fish_cat_medical_394,Peritonal Dialysis,Venous Nutrition and Blood Electrolytes
code_fish_cat_medical_395,Vasodilator antihypertensive,Antihypertensive And Anti-Anginal Agents
code_fish_cat_medical_396,Tamoxifen,Sterility And Infertility Agents
code_fish_cat_medical_397,Oxytocin preperation,"Pregnancy, Labor, & Lactation"
code_fish_cat_medical_398,Preperations for hygiene of eyelids & eyelashes,Eye and Ear Preparations
code_fish_cat_medical_399,Intrautreal loops,Female Sex Hormones
code_fish_cat_medical_400,Class I ( Sodium channel blockers ) : Group A .,Anti-arrhythmic Drugs
code_fish_cat_medical_401,Natural psyllium fibers,Laxative Preparations
code_fish_cat_medical_402,Sevelamer,Miscellaneous Drugs
code_fish_cat_medical_403,Anti-RH positive Factor,"Pregnancy, Labor, & Lactation"
code_fish_cat_medical_404,Class I ( Sodium channel blockers ) : Group C .,Anti-arrhythmic Drugs
code_fish_cat_medical_405,Preparations to prevent snoring during sleeping,Nasal Preparations
code_fish_cat_medical_406,Sorbitol,Drugs for Hepatic Disorders
code_fish_cat_medical_407,Antidiarrhoeal Contain Chloramphenicol + Strepomycine,Antidiarrheal Drugs
code_fish_cat_medical_408,Other Antibiotics not belong to Specific Group,Antimicrobials
code_fish_cat_medical_409,Prepartions used for biliary gland problems,Renal and Biliary Preperations
code_fish_cat_medical_410,Melatonin Preparations,Simple And MultiVitamins
code_fish_cat_non_medical_1,Non Medical,Saleable
code_fish_cat_non_medical_2,Accessories,Non Medical
code_fish_cat_non_medical_3,hair care,Non Medical
code_fish_cat_non_medical_4,Skin Care,Non Medical
code_fish_cat_non_medical_5,Beauty and perfumes,Non Medical
code_fish_cat_non_medical_6,Cold & Cough,Non Medical
code_fish_cat_non_medical_7,Mouth care,Non Medical
code_fish_cat_non_medical_8,Men Products,Non Medical
code_fish_cat_non_medical_9,Body Care,Non Medical
code_fish_cat_non_medical_10,Mother & Child,Non Medical
code_fish_cat_non_medical_11,Vitamins-Minerals,Non Medical
code_fish_cat_non_medical_12,Sun Care,Non Medical
code_fish_cat_non_medical_13,Natural herbs,Non Medical
code_fish_cat_non_medical_14,Sexual wellness,Non Medical
code_fish_cat_non_medical_15,Weight Loss & Diet,Non Medical
code_fish_cat_medical_5,Systemic Corticosteroids,Medical
code_fish_cat_non_medical_20,perfumes,Non Medical
code_fish_cat_non_medical_21,Liquid,Cold & Cough
code_fish_cat_non_medical_22,tablet,Cold & Cough
code_fish_cat_non_medical_23,DEODORANT,Non Medical
code_fish_cat_non_medical_24,Hair gel,Non Medical
code_fish_cat_medical_20,Topical Anti-Inflammatory Analgesic Preparations,Medical
code_fish_cat_non_medical_26,shaving product,Men Products
code_fish_cat_non_medical_27,woman kits,Mother & Child
code_fish_cat_non_medical_28,soap,Body Care
code_fish_cat_non_medical_29,Hair cream,Non Medical
code_fish_cat_non_medical_30,Baby Care,Mother & Child
code_fish_cat_non_medical_31,Households,Non Medical
code_fish_cat_non_medical_32,hair oil,Non Medical
code_fish_cat_non_medical_33,Sugar Analysis,Non Medical
code_fish_cat_non_medical_34,Blood Pressure Meter,Non Medical
code_fish_cat_non_medical_35,Adult diapers,Non Medical
code_fish_cat_non_medical_36,Tooth brush,Mouth care
code_fish_cat_non_medical_37,Personal Scales,Non Medical
code_fish_cat_non_medical_38,Baby and Child Accessories,Mother & Child
code_fish_cat_non_medical_39,Loofa,Body Care
code_fish_cat_non_medical_40,Nebulizer,Non Medical
code_fish_cat_non_medical_42,Infant Nutrition,Mother & Child
code_fish_cat_non_medical_43,Herbal,Cold & Cough
code_fish_cat_non_medical_44,INHALATION,Cold & Cough
code_fish_cat_non_medical_45,lubricant gel,Sexual wellness
code_fish_cat_non_medical_46,Nail polish remover,Body Care
code_fish_cat_non_medical_47,Pill Organizer,Non Medical
code_fish_cat_non_medical_48,TOOTH PASTE,Mouth care
code_fish_cat_non_medical_49,wipes,Non Medical
code_fish_cat_non_medical_50,SKIN CLEANSING,Body Care
code_fish_cat_non_medical_51,Inhaler,Cold & Cough
code_fish_cat_medical_39,Topical Anti-Thrombic & Anti-edema Preparations,Medical
code_fish_cat_non_medical_53,Tooth paste kids,Mouth care
code_fish_cat_non_medical_54,Hand gel,Body Care
code_fish_cat_non_medical_55,TOOTH BRUSH kids,Mouth care
code_fish_cat_non_medical_57,Hairdresse Machine,Non Medical
code_fish_cat_non_medical_58,TOOTH PICKS,Mouth care
code_fish_cat_non_medical_59,HAIR REMOVE,Body Care
code_fish_cat_non_medical_60,Suppository,Cold & Cough
code_fish_cat_non_medical_61,Rose water,Body Care
code_fish_cat_medical_25,Vitiligo And Psoriasis Preparations,Medical
code_fish_cat_non_medical_63,Dental floss,Mouth care
code_fish_cat_non_medical_64,Hair mask,Non Medical
code_fish_cat_non_medical_65,Beauty tools,Non Medical
code_fish_cat_non_medical_62,Cotton Buds,Non Medical
code_fish_cat_non_medical_16,General Supplies,Non Medical
code_fish_cat_non_medical_52,HAIR BRUSH,Non Medical
